Model,Normalized Float,Tone Float,Tech Float,Preference Float
DUNU Titan 1,4.5,4.5,4.5,
DUNU Titan 3,4.5,4.5,5.0,
DUNU Titan S,5.0,5.777,4.89,5.0
DUNU Vulkan,6.0,6.667,5.667,6.0
DUNU Zen Pro,5.433,5.777,5.557,6.0
DUNU x Z Reviews SA6 Ultra,5.5,5.0,6.5,
Delta Air complimentary earphones,0.0,0.0,0.0,
Dethonray Tender I,2.0,1.5,3.0,
Dita Dream,5.0,4.0,7.9,
Dita Dream XLS,4.5,4.0,5.5,
Dita Fealty,3.5,3.5,4.5,
Dita Fidelity,4.5,4.0,6.0,
Dita Perpetua,4.5,3.5,6.0,
Dita Project 71,3.5,3.5,4.5,
Dita Sakura 71,5.0,4.0,6.5,
Dita Truth,4.0,3.5,5.5,
Dita Truth Answer Edition,4.0,3.5,5.5,
Dita Truth Brass,3.0,2.5,4.5,
Drop + Grell TWS1X,3.4,4.33,3.0,3.0
Drop + JVC HA-FDX1,6.0,6.5,6.0,
Drop x Empire Ears Zeus,3.5,3.5,5.0,4.0
Drop x Grell TWS1/X,1.0,4.0,1.5,1.5
Drop x JVC HA-FDX1,5.2,5.0,5.67,5.0
Dunu DK-2001,4.9,4.67,5.0,5.0
Dunu DK-3001 Pro,5.0,5.0,5.0,5.0
Dunu DK2001,4.0,3.5,4.0,4.5
Dunu DK3001 Pro,4.5,6.0,5.0,5.0
Dunu EST 112,4.5,5.5,5.5,5.0
Dunu EST112,5.075,5.0,5.5,4.5
Dunu Falcon Pro,4.5,4.5,4.5,5.0
Dunu Kima,4.5,5.0,4.5,4.75
Dunu Luna,4.75,4.415,6.25,4.5
Dunu SA3,2.0,2.0,2.0,2.0
Dunu SA6,6.167,6.585,6.085,6.667
Dunu SA6 MK2,8.0,,,9.0
Dunu SA6 Ultra,8.0,,,9.5
Dunu Talos (Planar Mode),5.5,,,6.0
Dunu Titan S,5.0,,,4.5
Dunu Titan-S Prototype,5.0,6.0,4.0,5.5
Dunu Vulkan,4.5,5.0,5.0,5.0
Dunu Zen,5.45,5.415,6.0,5.5
Dunu Zen Pro,6.0,6.5,6.5,6.5
Dynamic Motion DM200H,3.5,3.5,3.5,
EarFun Free Pro 2,3.4,4.33,3.0,3.0
EarFun x Oluv Free,4.0,5.0,3.5,
EarFun x Oluv Free Pro,4.0,5.0,4.0,
EarWerkz Legend Omega,3.0,2.0,5.0,
Earfun Oluv Edition,3.4,4.33,3.0,3.0
Earsonics Blade,2.0,2.0,3.0,
Earsonics EM10/Grace,2.5,2.5,3.5,
Earsonics EM32,2.5,2.0,3.5,
Earsonics ES2,2.5,2.5,3.5,
Earsonics ES3,3.0,3.0,4.0,
Earsonics ES5,3.0,2.5,4.0,
Earsonics Purple,4.0,4.0,4.5,
Earsonics S-EM9,2.5,2.0,3.5,
Earsonics SM3,3.5,3.5,3.5,
Earsonics SM64v2,1.5,1.5,2.5,
Earsonics Stark,2.0,2.0,3.0,
Earsonics Velvet,3.0,2.5,4.5,
Eartech Dual Driver,3.5,4.5,3.5,
Eartech Quad Driver,3.5,3.5,4.0,
Eartech Triple Driver,3.5,3.5,3.5,
Edifier TWS1,3.5,3.5,3.5,
Edifier TWS5,4.0,5.0,4.0,
Edifier TWS6,4.0,5.0,3.5,
Effect Audio Axiom,2.9,2.667,4.11,3.0
Effect Audio King Arthur,1.5,1.5,1.5,
Effect Audio Symphony,2.0,2.0,2.5,
Effect Audio x Elysian Gaea,7.8,7.33,8.0,8.0
Elysian Annihilator 2021,8.25,8.043,8.69,9.375
Elysian Artemis,4.0,4.5,4.0,
Elysian Artemis V2,4.5,4.5,5.5,
Elysian Cora (2019),4.5,4.5,4.5,
Elysian Diva,7.2,6.89,6.89,9.0
Elysian Eros,3.5,3.5,3.5,
Elysian Hades V2,5.5,5.5,6.0,
Elysian Minerva,3.0,3.0,3.0,
Elysian Poseidon,6.0,6.0,6.0,
Elysian Terminator,5.5,5.5,6.0,
Elysian Terminator V2,5.5,5.5,6.0,
Elysian X,7.25,6.777,7.823,8.75
Elysian x Effect Audio Gaea,8.0,,,9.5
Empire Ears Bravado,4.0,4.0,4.0,
Empire Ears Bravado MK.II,3.6,4.0,4.0,3.0
Empire Ears Bravado Mk2,3.5,3.5,3.5,
Empire Ears ESR,4.0,4.0,5.0,
Empire Ears ESR MK.II,5.5,5.67,6.0,5.0
Empire Ears ESR Mk2,6.0,6.5,6.0,
Empire Ears EVO,7.3,7.33,7.67,7.0
Empire Ears EVR,4.5,4.0,5.5,
Empire Ears EVR Mk2,0.5,0.5,4.5,
Empire Ears Hero,5.167,4.777,6.11,5.0
Empire Ears Legend EVO,5.5,5.5,5.5,
Empire Ears Legend X,6.067,6.0,6.223,6.0
Empire Ears Legend X SE,6.4,6.443,6.443,7.0
Empire Ears Nemesis,4.0,4.0,4.5,
Empire Ears Odin,7.44,7.308,7.668,8.5
Empire Ears Phantom,3.5,3.0,4.5,
Empire Ears Phantom LE,4.0,4.0,4.5,
Empire Ears Valkyrie,4.875,4.375,6.125,5.5
Empire Ears Valkyrie MK.II,6.0,6.0,6.0,6.0
Empire Ears Valkyrie Mk2,4.5,4.0,6.0,
Empire Ears Vantage,5.0,5.0,5.0,
Empire Ears Wraith,3.175,3.208,4.25,2.75
Empire Ears Zeus XIV,4.8,3.67,5.67,5.0
Empire Ears Zeus-XIV,3.5,2.0,7.9,
Eternal Melody EM-2,3.0,4.0,2.5,
Eternal Melody EM-4,3.0,3.0,3.5,
Eternal Melody EM-5,4.0,4.0,4.5,
Eternal Melody EM-5H,3.0,3.0,4.0,
Eternal Melody EM-6,3.0,3.0,3.5,
Eternal Melody EM-6W,3.0,3.0,4.0,
Etymotic ER2SE,4.733,5.335,4.75,4.167
Etymotic ER2SE/ER2XR,5.5,6.5,5.5,
Etymotic ER2XR,5.4,6.0,5.0,5.167
Etymotic ER3SE,3.5,4.5,4.5,4.0
Etymotic ER3SE/ER3XR,5.5,6.0,5.5,
Etymotic ER3XR,4.5,5.67,4.0,4.0
Etymotic ER4B,6.0,6.0,6.0,
Etymotic ER4PT,5.0,5.5,5.0,
Etymotic ER4SR,4.5,5.0,4.5,5.0
Etymotic ER4XR,5.575,5.792,5.582,5.25
Etymotic EVO,5.3,5.0,6.0,5.0
Eytmotic ER3XR,5.0,5.5,5.0,5.5
F-Audio Major,2.5,3.0,4.0,3.0
FAAEAL Hibiscus,2.0,2.0,2.5,
FAudio Chorus,4.0,4.0,4.5,
FAudio Dark Sky,5.533,6.0,5.667,5.0
FAudio Major,4.0,3.5,5.5,
FAudio Mezzo,4.5,4.5,5.5,
FAudio Minor,5.0,6.0,5.0,
FLC 8P,2.0,2.0,2.0,2.0
FLC8S,4.0,4.5,4.0,
FatFreq Maestro Mini,5.6,6.75,5.335,5.75
Fatfreq 20.6,3.5,3.5,4.5,
Fatfreq 20.8,3.5,3.5,4.0,
Fatfreq Eden,3.0,3.0,3.5,
Fatfreq Hayabusa,5.0,5.5,5.0,
Fatfreq Maestro,5.5,6.5,5.0,
Fatfreq Maestro Mini,5.5,7.0,5.0,6.5
Fatfreq Maestro SE,5.5,6.5,5.5,
Fatfreq Musician,3.5,3.5,3.5,
Fatfreq Musician Plus,3.0,3.0,3.5,
Fatfreq Musician Plus V2,4.5,6.0,4.0,
Fatfreq Musician Pro,3.0,3.0,3.5,
Fatfreq Musician Pro SE,4.0,5.5,3.5,
Fatfreq Reference,3.5,4.5,3.5,
Fatfreq Reference Plus,3.0,3.0,3.5,
Fatfreq Reference Plus V2,4.0,5.0,3.5,
Fatfreq Reference Pro,4.5,5.0,4.5,
Fatfreq Sakura,5.0,6.0,5.0,
Fatfreq Tsuru,5.0,5.5,5.0,
Fearless ACME8,1.5,1.5,2.0,
Fearless Audio Barcelona,2.9,3.33,2.33,3.0
Fearless Audio Provence,3.0,3.33,2.67,3.0
Fearless Audio S8P,5.5,5.0,5.33,6.0
Fearless Audio Shangri-La,3.2,3.33,3.33,3.0
Fearless Audio Tequila,2.4,2.33,3.0,2.0
Fearless Barcelona,3.333,3.667,3.333,2.5
Fearless Crinacle Dawn,5.5,8.7,5.0,5.5
Fearless Crystal Ball,2.0,2.0,2.5,
Fearless Crystal Pearl,3.0,3.0,3.0,
Fearless HyperS 12BA,3.5,3.0,4.5,
Fearless La Hire,5.0,5.0,5.0,
Fearless Lancelot,5.0,5.0,6.0,
Fearless Provence,3.5,4.667,3.333,3.0
Fearless Roland,3.0,2.5,4.0,
Fearless S10 Genie,3.5,3.0,4.5,
Fearless S4,4.0,4.167,4.167,3.5
Fearless S5H,4.5,4.5,4.5,
Fearless S5T,2.5,2.5,2.5,
Fearless S6Pro,5.5,5.5,5.5,
Fearless S6Rui,4.5,4.5,5.0,
Fearless S8F/S8Pro,5.0,5.0,5.5,
Fearless S8Z,4.875,5.418,5.208,4.5
Fearless Shangri-La,2.5,3.0,3.5,3.0
Fearless Shangri-la,4.0,5.5,3.5,
Fearless Start,3.5,3.5,3.5,
Fearless Tequila,3.333,3.0,3.667,3.5
Fearless X Crinacle Dawn,7.5,,,7.0
Fearless x Crinacle Dawn,6.1,6.67,5.67,6.0
Fender FXA9,2.0,1.5,3.5,
Fender Ten 5,3.5,4.5,3.0,
Fender Thirteen 6,0.5,0.5,2.0,
FiR Krypton 5,2.5,2.5,3.5,
FiR M2,3.0,2.0,4.5,
FiR M3,5.5,5.5,5.5,
FiR M4,5.5,5.5,5.5,
FiR M5,5.5,5.5,5.5,
FiR Neon 4,3.0,2.5,4.0,
FiR VxV,4.5,4.0,5.5,
FiR VxV (Five x Five),3.5,2.5,4.5,4.0
FiR Xenon 6,2.5,2.0,3.5,
Fidue A71,2.0,2.5,2.0,
"Fidue A91 ""Sirius""",4.5,4.5,5.0,
FiiO F3,3.5,4.5,3.5,
FiiO F5,3.5,4.5,3.5,
FiiO F9,4.0,4.0,4.0,
FiiO F9 Pro,4.0,4.0,4.0,
FiiO FA1,3.5,4.5,3.5,
FiiO FA7,3.0,3.0,4.0,
FiiO FA7S,3.5,3.5,4.5,
FiiO FA9,4.5,4.5,4.5,
FiiO FD1,3.5,3.5,3.5,
FiiO FD5,4.5,4.5,5.0,
FiiO FD7,5.0,5.0,5.0,
FiiO FH1,3.5,4.0,3.5,
FiiO FH1S,3.5,3.5,3.5,
FiiO FH3,4.0,4.0,4.5,
FiiO FH5,5.0,5.0,5.0,
FiiO FH5s,3.5,3.5,4.5,
FiiO FH7,4.0,4.0,5.0,
FiiO FH9,5.0,5.0,5.0,
Fiio FA7,0.0,0.0,0.1,0.1
Fiio FD3,3.0,3.0,3.0,3.0
Fiio FD5,4.4,4.33,5.0,4.0
Fiio FH3,3.0,3.0,3.0,3.0
Fiio FH5,5.0,5.0,5.0,5.0
Fiio FH5S,3.0,3.0,3.0,3.0
Fiio FH7,5.0,5.0,5.0,5.0
Fiio FH7S,5.3,5.33,5.0,5.5
Fiio FH9,5.0,5.0,5.0,5.0
Fiio x Crinacle FHE Eclipse,3.7,4.0,3.0,4.0
Fiio x Crinacle FHE: Eclipse,3.0,4.5,4.0,3.5
Final Audio A4000,3.3,3.0,4.0,3.0
Final Audio A8000,4.4,4.25,6.042,3.25
Final Audio Adagio 3,0.5,0.5,2.0,
Final Audio B1,3.5,3.5,4.0,
Final Audio B2,4.0,4.0,4.0,
Final Audio B3,4.667,5.0,4.667,5.0
Final Audio E1000,3.0,4.0,2.667,1.5
Final Audio E2000,3.167,4.0,3.0,3.0
Final Audio E3000,3.0,3.833,3.0,2.5
Final Audio E4000,3.5,4.5,3.5,
Final Audio E500,4.067,4.89,3.667,4.0
Final Audio E5000,3.5,4.5,3.5,
Final Audio EVA,2.7,3.0,2.0,3.0
Final Audio F4100,3.5,3.5,4.0,
Final Audio F7200,3.5,3.5,4.0,
Final Audio FI-DO6SS ANT20,3.0,3.0,4.0,
Final Audio Heaven 4,4.0,4.0,4.0,
Final Audio Heaven 7,3.5,3.5,4.0,
Final Audio Heaven 8,3.0,3.0,4.0,
Final Audio Heaven II,4.0,4.5,4.0,
Final Audio Heaven S,3.5,3.5,4.0,
Final Audio LAB 1,3.5,3.5,4.0,
Final Audio LAB 2,0.5,0.5,3.5,
Final x Dita Shichiku.Kangen,5.2,4.67,6.0,5.0
Fischer Omega Spark,0.5,0.5,0.5,
FitEar Air 2,3.5,3.5,3.5,
FitEar Air 2/Titan,3.5,3.5,3.5,
FitEar Aya,3.5,3.5,4.0,
FitEar EST,3.0,4.0,3.0,
FitEar F/A111,3.5,3.5,4.0,
FitEar Fitear,3.0,3.0,3.5,
FitEar MH334,4.5,4.5,4.5,
FitEar MH334SR,5.5,5.5,5.5,
FitEar MH335DW,4.0,4.0,5.0,
FitEar Monet 17,4.0,4.0,5.0,
FitEar Parterre,3.5,3.5,4.5,
FitEar Private 222,3.0,2.5,4.5,
FitEar Private 223,3.0,2.5,4.5,
FitEar Private 333,4.5,4.0,5.5,
FitEar Private C435,3.5,3.0,4.5,
FitEar TG334,4.5,4.5,4.5,
